BREED,GENDER_01,AGEATSURGERYmo,BODYWEIGHTKG,Taglia,BCS,YEAR,n_luxation,GENERATION,STEMSIZE,CUPSIZE,NECKSIZE,HEADSIZE,ALO,CUPRETROVERSION,STEMANTEVERSIONREAL,RECTUSFEMORISM.RELEASE,first_lux_days_after_thr,DIRECTION,LUX_CR,LUX_01
12,1,127.0,34.5,1,6.0,2015,-1.0,5,1,3,5,0,40.0,20,31.3,2,-1.0,-1.0,0,0
10,1,15.5333333333333,28.0,1,7.0,2019,-1.0,6,2,1,4,0,42.0,15,20.8,1,-1.0,-1.0,0,0
10,0,12.8333333333333,31.7,1,6.0,2013,-1.0,4,0,3,4,0,43.0,22,39.5,2,-1.0,-1.0,0,0
10,0,11.1,30.6,1,6.0,2014,1.0,4,0,3,4,0,45.0,17,22.5,2,37.0,1.0,1,1
7,1,13.6,46.2,1,6.0,2016,2.0,5,1,6,5,1,45.0,14,31.3,0,84.0,0.0,1,1
10,0,118.133333333333,46.0,1,8.0,2018,-1.0,6,0,7,5,3,46.0,22,25.9,0,-1.0,-1.0,1,0
5,1,8.76666666666667,21.5,1,4.0,2020,-1.0,6,0,4,4,1,45.0,18,17.7,0,-1.0,-1.0,0,0
7,0,14.49797695859005,59.50584677820942,1,4.119829002017647,2002,1.1198290020176462,3,1,6,5,1,45.59914501008823,15,26.54707661089529,0,8.917264032282342,0.0,0,1
3,0,8.23362232749853,22.494876842121492,1,5.0,2019,1.5341871929797515,6,3,3,4,0,43.39743842106075,14,24.922226596505293,0,48.41024631575702,0.0,1,1
12,1,75.5,35.0,1,6.0,2021,-1.0,6,0,4,4,1,40.0,20,22.5,1,-1.0,-1.0,0,0
3,0,19.741958261393826,51.04998001594693,1,5.68334236039197,2005,1.0,4,0,6,4,0,42.6613010666952,18,29.546734010559952,0,2006.5660525374137,0.5322602133390402,0,1
10,1,14.7666666666667,29.0,1,6.0,2015,-1.0,5,0,3,4,0,40.0,15,22.5,0,-1.0,-1.0,0,0
5,1,113.233333333333,32.0,1,6.0,2006,-1.0,3,0,3,4,0,45.0,23,24.2,0,-1.0,-1.0,0,0
8,0,77.6666666666667,46.0,1,5.0,2008,-1.0,3,1,6,5,1,42.0,14,37.3,0,-1.0,-1.0,0,0
2,1,57.7333333333333,20.0,0,5.0,2010,-1.0,4,3,1,3,0,35.0,8,27.7,0,-1.0,-1.0,0,0
12,1,66.5666666666667,27.0,1,5.0,2021,-1.0,6,0,4,4,1,46.0,18,24.2,1,-1.0,-1.0,0,0
11,1,12.2,20.0,0,5.0,2021,-1.0,6,3,2,4,0,45.0,26,22.5,0,-1.0,-1.0,0,0
5,0,22.551354312306394,38.48066018829157,1,4.574587382317767,2001,1.5745873823177665,3,1,3,6,0,44.14917476463553,3,33.59834952927106,0,24.298349529271068,0.5745873823177666,0,1
10,0,6.7,30.0,1,6.0,2021,-1.0,6,0,4,4,1,45.0,19,19.2,0,-1.0,-1.0,0,0
12,1,9.8,30.4,1,5.0,2019,-1.0,6,0,4,4,1,40.0,15,20.8,0,-1.0,-1.0,1,0
5,0,7.66666666666667,29.3,1,4.0,2017,-1.0,5,0,4,5,1,40.0,16,31.3,1,-1.0,-1.0,1,0
10,0,15.694131964879888,33.89783809232417,1,5.0,2014,1.0010294798456334,4,0,3,4,0,44.994852600771836,25,27.696396820540283,0,32.0,0.0,0,1
12,0,82.50615924387768,47.44703373847146,1,5.0,2006,1.408306342759451,3,0,3,4,0,49.6332253710378,20,31.3,0,16.32524291516494,0.0,0,1
3,1,41.3333333333333,37.0,1,5.0,2004,-1.0,3,1,3,4,0,42.0,0,24.2,0,-1.0,-1.0,0,0
10,1,28.6666666666667,29.0,1,7.0,2018,-1.0,6,3,2,4,0,42.0,16,22.5,2,-1.0,-1.0,0,0
5,1,9.3,25.8,1,4.0,2018,-1.0,6,0,3,4,0,45.0,25,22.5,0,-1.0,-1.0,0,0
10,1,14.83,26.9,1,5.0,2016,1.0,5,3,2,4,0,40.0,20,24.2,2,24.0,0.0,0,1
12,0,118.1866386668965,35.93391604085388,1,5.457432097773707,2009,1.4574320977737072,4,0,3,4,0,45.28716048886854,20,29.653244448014654,0,18.978370346568976,0.0,0,1
2,0,72.4666666666667,22.0,1,5.0,2005,-1.0,3,3,2,4,0,44.0,6,31.3,0,-1.0,-1.0,0,0
8,0,19.6333333333333,51.4,1,5.0,2019,-1.0,6,5,9,5,3,42.0,20,20.8,0,-1.0,-1.0,0,0
10,0,11.316581281465309,27.569576886539167,1,4.44201926121736,2012,1.0,4,0,3,4,0,41.11596147756528,10,26.15293258573924,0,21.2100963060868,0.0,1,1
10,0,18.78647309998866,28.447380911922128,1,5.0,2014,1.8343033659547676,4,0,3,4,0,43.0058201957286,16,27.40174605871858,0,34.331393268090466,0.0,0,1
5,1,74.2,34.8,1,5.0,2020,-1.0,6,1,7,4,3,44.0,20,20.8,0,-1.0,-1.0,0,0
3,1,7.76666666666667,34.0,1,5.0,2009,-1.0,4,1,6,5,1,43.0,24,33.3,0,-1.0,-1.0,0,0
2,1,9.73333333333333,23.2,1,5.0,2017,-1.0,5,0,4,4,1,40.0,12,14.6,0,-1.0,-1.0,1,0
6,0,11.4,27.2,1,6.0,2019,-1.0,6,3,2,4,0,47.0,18,24.2,0,-1.0,-1.0,0,0
2,0,91.48921071713983,36.88850846625241,1,5.123872388683654,2005,1.0,3,0,1,4,0,38.15050081931475,18,32.22530322263802,0,2035.3558186583355,0.0,0,1
12,0,8.73333333333333,35.0,1,5.0,2008,-1.0,3,0,3,4,0,43.0,17,17.7,0,-1.0,-1.0,0,0
9,0,16.6333333333333,51.0,1,6.0,2017,-1.0,5,1,6,5,1,40.0,24,20.8,0,-1.0,-1.0,1,0
2,0,72.8666666666667,28.0,1,5.0,2010,-1.0,4,3,2,4,0,41.0,23,37.3,0,-1.0,-1.0,0,0
3,1,13.9666666666667,48.4,1,6.0,2020,-1.0,6,1,7,5,1,46.0,14,17.7,0,-1.0,-1.0,0,0
5,0,14.116759772945663,36.62308583526363,1,5.623085835263628,2015,1.3769141647363718,5,0,3,5,1,36.88457082368186,15,29.05689099305094,0,16.984686682109025,0.0,1,1
12,0,9.93333333333333,30.0,1,5.0,2020,-1.0,6,1,4,4,1,45.0,15,27.7,0,-1.0,-1.0,0,0
7,0,12.73830926841042,60.81365147632872,1,6.708486863510497,2004,2.0,3,1,8,6,1,48.0,15,31.3,0,17.89483538718177,0.0,0,1
10,1,44.1333333333333,36.4,1,8.0,2021,-1.0,6,0,4,4,1,40.0,20,24.2,0,-1.0,-1.0,0,0
10,0,17.1,35.5,1,5.0,2020,-1.0,6,0,4,4,1,45.0,15,17.7,0,-1.0,-1.0,0,0
3,1,12.329397070644967,43.718217111851246,1,5.8252265571726225,1999,1.825226557172623,6,0,4,4,1,45.87386721413689,10,31.999093771309507,0,81.7279452432441,0.0,0,1
9,0,8.961312109811631,38.061185940696205,1,4.765296485174051,2015,1.3826482425870257,5,1,6,5,1,41.55616581671677,15,20.187213576815665,0,5.765296485174051,0.0,1,1
3,1,6.997195085686504,32.027974636716415,1,5.0,2016,1.0,3,3,2,4,0,49.300634082089616,15,33.509623250149424,0,72.1189854686566,0.13987318358207623,0,1
10,0,10.0666666666667,33.6,1,5.0,2014,-1.0,4,0,3,4,0,40.0,12,31.3,0,-1.0,-1.0,0,0
9,0,10.308000791502494,40.36602126403808,1,6.0,2012,1.89492144122784,3,0,6,5,1,47.4746072061392,18,27.332225044297438,0,55.10507855877216,0.0,0,1
11,0,11.0333333333333,23.1,1,5.0,2018,-1.0,6,0,3,4,0,45.0,10,19.2,0,-1.0,-1.0,1,0
6,1,66.6,16.0,0,5.0,2016,-1.0,5,2,1,4,0,45.0,20,31.3,2,-1.0,-1.0,0,0
1,0,127.766666666667,22.9,1,8.0,2021,-1.0,6,2,2,4,0,42.0,21,17.7,0,-1.0,-1.0,0,0
10,1,8.63333333333333,30.0,1,7.0,2007,-1.0,3,0,2,4,0,45.0,15,20.8,0,-1.0,-1.0,0,0
7,0,10.15137410548858,40.80609058938197,1,5.0,2021,1.0,5,1,6,5,1,36.19831644267754,0,35.01794994819194,0,92.69150775583495,0.022035160297504186,1,1
10,1,23.0333333333333,30.2,1,5.0,2021,-1.0,6,3,2,4,0,47.0,18,27.7,1,-1.0,-1.0,0,0
5,0,9.2,36.0,1,5.0,2005,-1.0,3,0,3,4,0,43.0,16,24.2,0,-1.0,-1.0,0,0
7,0,13.47364572283865,50.918607803870884,1,6.044962081032237,2015,1.5224810405161184,5,1,3,5,1,43.0,19,30.359534127070987,0,142.83721560774177,0.0,0,1
3,1,85.5333333333333,54.0,1,5.0,2015,-1.0,5,7,10,9,4,45.0,30,22.5,0,-1.0,-1.0,0,0
10,0,13.6,30.5,1,5.0,2016,-1.0,5,0,4,4,1,40.0,18,17.7,2,-1.0,-1.0,0,0
7,0,9.549586293327033,36.16321911105862,1,5.0,2020,1.9673561777882753,5,1,4,5,1,42.77149324451793,15,18.274531270926357,0,83.32643822211725,0.0,1,1
3,0,11.9666666666667,28.0,1,5.0,2009,-1.0,4,0,2,4,0,41.0,11,44.3,0,-1.0,-1.0,0,0
5,0,50.67248992499619,31.318201538708017,1,5.48601550297754,2010,1.0,4,0,2,4,0,49.02796899404492,20,28.675516283921283,0,27.251720946404284,0.0,0,1
10,1,8.46666666666667,30.0,1,7.0,2008,-1.0,3,0,3,4,0,48.0,12,29.5,0,-1.0,-1.0,0,0
8,0,100.8,66.0,1,7.0,2010,-1.0,4,1,5,5,0,42.0,22,24.2,0,-1.0,-1.0,0,0
10,0,15.8333333333333,23.8,1,5.0,2004,-1.0,3,3,2,4,0,43.0,4,27.7,0,-1.0,-1.0,0,0
10,0,12.1666666666667,29.0,1,5.0,2009,-1.0,4,0,3,4,0,42.0,18,33.3,0,-1.0,-1.0,0,0
5,0,10.7666666666667,34.2,1,5.0,2016,-1.0,5,0,4,4,1,43.0,14,17.7,1,-1.0,-1.0,0,0
2,1,23.08271835786119,29.155665714699964,1,5.0,2010,2.0,4,3,2,4,0,45.76297214289166,27,35.3,0,966.2108949852595,0.0,0,1
3,1,12.988605908117751,45.00580521255462,1,5.915901775532015,1999,1.9159017755320153,6,0,4,4,1,45.420491122339925,10,31.63639289787194,0,82.9067230819162,0.0,0,1
3,1,10.580288168385422,32.11528037823258,1,5.0,2002,1.0,5,0,3,5,0,44.686838005182715,15,21.95900312951504,0,276.1497662954149,0.6868380051827176,0,1
6,1,19.3666666666667,16.0,0,7.0,2021,-1.0,6,8,1,0,0,45.0,17,14.0,0,-1.0,-1.0,0,0
9,0,8.551983944293271,34.445564016182246,1,4.858225606472898,2017,1.8582256064728981,6,1,4,5,1,45.42532318058131,15,20.360499380065985,0,15.14935363883739,0.0,1,1
3,0,66.92297097928531,25.91951478369038,1,5.0,2016,1.6257032328602072,5,0,3,4,0,41.87148383569896,15,28.71237689833965,0,347.18477479311764,1.0,0,1
2,1,58.3666666666667,23.0,1,5.0,2010,-1.0,4,0,2,4,0,38.0,6,33.3,0,-1.0,-1.0,0,0
9,0,9.91829045345107,32.0,1,4.0,2015,2.0,5,0,3,4,1,40.81416320033644,15,32.92832640067287,0,15.814163200336436,0.0,1,1
10,0,8.976679863246076,30.03877000790645,1,6.0,2014,1.0,4,0,3,4,0,43.12923335968817,17,20.909848355734947,0,42.612299920935484,1.0,1,1
5,0,110.5,40.5,1,5.0,2021,-1.0,6,1,4,5,1,44.0,16,25.9,0,-1.0,-1.0,0,0
12,1,100.466666666667,38.8,1,8.0,2020,-1.0,6,0,4,4,1,46.0,22,22.5,0,-1.0,-1.0,0,0
6,1,76.7666666666667,19.8,0,5.0,2019,-1.0,6,3,2,4,0,40.0,22,22.5,0,-1.0,-1.0,0,0
10,0,8.23333333333333,31.0,1,5.0,2021,-1.0,6,3,4,4,1,42.0,20,20.8,1,-1.0,-1.0,1,0
9,0,8.643692649113117,41.82634436173291,1,5.804390726955485,2015,2.0,5,1,6,5,1,38.15170200348967,15,24.532535764175673,0,5.630735088688395,0.0,1,1
3,0,9.454719174539408,37.851749514812106,1,5.0,2021,1.0,6,0,4,4,1,44.1940606805454,23,21.24633956525441,0,22.0,0.0,1,1
5,1,38.3666666666667,32.5,1,5.0,2014,-1.0,4,0,3,4,0,48.0,22,35.3,0,-1.0,-1.0,0,0
10,0,8.6,28.0,1,5.0,2008,-1.0,3,3,2,4,0,47.0,15,31.3,0,-1.0,-1.0,0,0
10,1,9.222332217855131,30.28108951836484,1,5.0,2011,2.0,4,0,3,4,0,45.47636189795605,22,35.01454284693408,0,31.66636667857691,0.0,1,1
5,0,51.5333333333333,31.2,1,5.0,2019,-1.0,6,1,4,5,1,45.0,20,22.5,0,-1.0,-1.0,0,0
9,1,9.291066070918033,34.71657437698902,1,6.811049584659347,2021,1.0,6,0,3,4,0,47.28342562301098,18,22.169890511219727,0,61.94475207670326,0.0,0,1
7,0,8.4,46.0,1,5.0,2004,-1.0,3,1,5,5,0,43.0,8,27.7,0,-1.0,-1.0,0,0
10,0,12.0,32.6,1,5.0,2015,-1.0,5,0,3,4,0,48.0,30,27.7,0,-1.0,-1.0,1,0
10,0,11.922812275561673,32.508404522575354,1,5.0,2014,1.6626645130593554,4,0,3,4,0,41.68667743470322,25,25.380674204292255,0,32.0,0.0,0,1
3,0,10.13,41.0,1,5.0,2009,1.0,4,1,6,4,1,36.0,29,35.3,0,93.0,0.0,0,1
5,0,38.3666666666667,44.0,1,5.0,2018,-1.0,6,1,6,5,1,45.0,24,14.6,0,-1.0,-1.0,0,0
9,1,8.430797889999814,18.781864012013322,0,5.0,2016,2.909320060066615,5,2,2,4,0,43.81864012013323,15,29.182620210233154,0,70.63475957953369,0.0,0,1
5,1,12.6666666666667,30.0,1,5.0,1999,-1.0,2,0,3,6,0,38.0,0,31.3,0,-1.0,-1.0,0,0
6,1,10.7333333333333,17.2,0,5.0,2013,-1.0,4,3,2,3,0,39.0,20,27.7,2,-1.0,-1.0,0,0
9,0,8.83434830507491,41.14228813568264,1,5.734612590811805,2015,2.0,5,1,6,5,1,37.06154963675278,15,26.084250605236182,0,8.326937045940973,0.0,1,1
10,0,10.5339252598654,30.47771239531083,1,5.0,2014,1.092619835287153,4,0,3,4,0,38.46309917643576,17,26.400147110550627,0,36.0,0.0,1,1
10,0,10.2333333333333,34.0,1,5.0,2007,-1.0,3,0,2,4,0,46.0,12,25.9,0,-1.0,-1.0,0,0
1,0,15.5666666666667,18.2,0,5.0,2021,-1.0,6,2,1,4,0,40.0,20,20.8,0,-1.0,-1.0,1,0
5,0,111.7,34.0,1,5.0,2010,-1.0,4,0,3,4,0,42.0,31,24.2,0,-1.0,-1.0,0,0
3,0,43.0333333333333,54.0,1,5.0,2021,-1.0,6,4,9,6,2,44.0,23,17.7,1,-1.0,-1.0,0,0
10,1,87.0,35.0,1,6.0,2007,-1.0,3,0,3,4,0,43.0,30,24.2,0,-1.0,-1.0,0,0
12,0,77.0333333333333,27.9,1,4.0,2018,-1.0,6,0,2,4,0,44.0,17,20.8,0,-1.0,-1.0,0,0
10,0,10.790649982691946,30.670456712761418,1,5.0,2014,1.0123097030160757,4,0,3,4,0,38.061548515080375,16,25.966472396286807,0,36.0,0.0,0,1
8,0,10.7,55.0,1,7.0,2017,-1.0,5,6,6,5,1,46.0,30,16.1,2,-1.0,-1.0,1,0
9,1,92.7,42.5,1,7.0,2019,-1.0,6,1,7,5,3,45.0,32,31.3,0,-1.0,-1.0,0,0
10,1,10.2666666666667,29.6,1,6.5,2016,-1.0,5,0,4,4,1,40.0,30,31.3,2,-1.0,-1.0,0,0
2,0,7.93333333333333,22.4,1,5.0,2020,-1.0,6,3,2,4,0,44.0,13,17.7,0,-1.0,-1.0,0,0
3,1,8.812079946192162,19.13683635140731,0,5.818707057119233,2016,1.8187070571192328,5,3,2,4,0,41.63741411423847,15,29.70462210264925,0,92.18707057119232,0.8187070571192328,0,1
10,1,67.8333333333333,31.0,1,6.0,2008,-1.0,3,0,3,4,0,47.0,23,14.6,0,-1.0,-1.0,0,0
11,0,66.7666666666667,24.0,1,5.0,2020,-1.0,6,0,4,4,1,45.0,10,20.8,0,-1.0,-1.0,0,0
12,0,91.26999271279053,27.45044740453698,1,5.0,2006,1.7747762977315102,3,1,3,4,0,45.22522370226849,15,31.3,0,10.900894809073959,0.22522370226848976,0,1
3,0,18.4,31.0,1,5.0,2015,-1.0,5,0,3,4,0,46.0,15,31.3,2,-1.0,-1.0,0,0
10,1,8.66666666666667,25.0,1,6.0,2019,-1.0,6,3,2,4,0,44.0,14,20.8,0,-1.0,-1.0,1,0
8,0,35.5,43.0,1,5.0,2005,-1.0,3,1,3,4,0,48.0,12,24.2,0,-1.0,-1.0,0,0
5,1,8.13333333333333,24.3,1,5.0,2015,-1.0,5,0,3,4,0,45.0,20,27.7,1,-1.0,-1.0,1,0
1,0,113.933333333333,21.0,1,4.0,2018,1.0,6,2,1,4,0,45.0,10,19.2,0,79.0,0.0,0,1
3,0,15.3,42.1,1,5.0,2015,-1.0,5,1,6,5,1,40.0,18,27.7,0,-1.0,-1.0,0,0
11,1,64.0,23.5,1,4.0,2020,-1.0,6,3,4,4,1,45.0,15,24.2,0,-1.0,-1.0,0,0
1,0,11.6,17.0,0,6.0,2020,-1.0,6,8,1,0,0,46.0,14,27.7,0,-1.0,-1.0,1,0
10,0,14.749938576049194,26.91525786798427,1,4.987285110013106,2012,1.0,4,0,3,4,0,40.025429779973784,10,24.244502114954127,0,23.936425550065533,0.0,1,1
5,1,73.9666666666667,38.8,1,6.0,2021,-1.0,6,1,7,5,2,46.0,14,22.5,0,-1.0,-1.0,0,0
2,0,14.4,22.2,1,4.5,2018,-1.0,6,3,2,4,0,45.0,15,20.8,2,-1.0,-1.0,1,0
1,0,12.3,15.0,0,5.0,2021,-1.0,6,8,1,4,0,45.0,18,31.3,0,-1.0,-1.0,1,0
8,1,9.56666666666667,35.3,1,5.0,2016,-1.0,5,1,4,4,1,41.0,24,19.2,0,-1.0,-1.0,0,0
10,0,10.4,30.2,1,6.0,2016,-1.0,5,0,4,4,1,46.0,20,22.5,2,-1.0,-1.0,0,0
10,1,57.2,27.3,1,5.0,2010,-1.0,4,3,2,4,0,42.0,18,27.7,0,-1.0,-1.0,0,0
10,1,11.489965890147229,25.52805573839148,1,5.0,2012,1.6505116477917157,4,0,3,4,0,47.44641846545799,22,33.902046591166865,0,26.650511647791717,0.0,1,1
10,0,8.621124845530321,37.20181306648,1,5.743116152354285,2021,1.7431161523542853,6,0,4,4,1,45.94492921883428,14,28.624781851524574,0,54.48623230470857,0.2568838476457148,1,1
7,1,55.9666666666667,65.3,1,7.0,2021,-1.0,6,1,7,5,2,45.0,20,20.8,0,-1.0,-1.0,0,0
5,1,9.198546247191127,24.877163002247098,1,5.0,2008,1.0,4,0,3,4,0,47.16003525393242,20,25.61998237303379,0,11.754326004494198,0.4057092494382253,0,1
7,0,16.573921215923825,47.756647574731915,1,5.040558737544681,2011,1.9594412624553186,3,1,3,4,0,47.756647574731915,15,31.153988544839148,0,29.121676212634043,0.0,0,1
6,1,5.568748084821574,18.4,0,5.0,2016,1.0,5,3,2,4,0,40.0,15,22.5,0,84.0,0.0,0,1
10,1,12.885339305229511,22.735563727935162,1,5.0,2013,2.0,4,3,2,4,0,45.0,23,33.46945465991895,0,26.54236366497974,0.0,1,1
5,0,48.03211071439361,48.83266890827399,1,5.277822072781735,2012,1.7221779272182656,4,0,3,4,0,49.44435585443653,15,29.799760806978632,0,9.333864873380813,0.0,0,1
3,1,8.346364421641066,34.35752953432627,1,5.09218134701536,2015,1.9078186529846402,4,0,3,4,0,44.63127461193856,8,21.113416579852224,0,16.09218134701536,0.0,0,1
10,1,9.93333333333333,23.7,1,5.0,2020,-1.0,6,3,2,4,0,40.0,10,17.7,0,-1.0,-1.0,0,0
10,1,12.302375083932725,25.079061630038456,1,4.23255135836538,2009,1.23255135836538,4,1,3,4,0,38.93020543346152,9,21.732580517394247,0,9.69765407509614,0.7674486416346199,0,1
5,1,7.9,25.0,1,5.0,2006,-1.0,3,0,2,4,0,43.0,15,31.3,0,-1.0,-1.0,0,0
10,1,31.4,26.4,1,5.0,2019,-1.0,6,3,2,4,0,45.0,18,24.2,0,-1.0,-1.0,0,0
10,1,7.73333333333333,24.0,1,5.0,2021,-1.0,6,3,2,4,0,45.0,23,22.5,0,-1.0,-1.0,1,0
5,0,52.40285359649205,32.975150802309294,1,5.6134731386391765,2012,1.0,4,0,2,4,0,46.06736569319588,20,26.595748350449483,0,24.570956643134004,0.0,0,1
1,0,55.8666666666667,32.0,1,6.0,2011,2.0,4,0,2,5,0,38.0,27,31.3,0,10.0,0.0,0,1
5,0,7.73333333333333,25.4,1,4.0,2017,-1.0,5,0,3,4,0,40.0,22,14.6,1,-1.0,-1.0,1,0
